Class,CBO,DIT,LCOM,WMC
org.apache.pdfbox.cos.TestCOSFloat.HashCodeTester-2.0.30,3,1.0,1,1
org.apache.pdfbox.cos.TestCOSFloat.IntValueTester-2.0.30,3,1.0,1,1
org.apache.pdfbox.cos.TestCOSFloat.LongValueTester-2.0.30,3,1.0,1,1
org.apache.pdfbox.cos.TestCOSFloat.WritePDFTester-2.0.30,4,1.0,1,2
org.apache.pdfbox.cos.TestCOSIncrement-2.0.30,11,0.0,2,2
org.apache.pdfbox.cos.TestCOSInteger-2.0.30,5,4.0,10,18
org.apache.pdfbox.cos.TestCOSName-2.0.30,5,0.0,1,1
org.apache.pdfbox.cos.TestCOSNumber-2.0.30,6,3.0,7,3
org.apache.pdfbox.cos.TestCOSStream-2.0.30,8,2.0,1,11
org.apache.pdfbox.cos.TestCOSString-2.0.30,4,3.0,9,21
org.apache.pdfbox.cos.TestCOSUpdateInfo-2.0.30,3,0.0,1,1
org.apache.pdfbox.cos.UnmodifiableCOSDictionary-2.0.30,1,2.0,2,3
org.apache.pdfbox.debugger.PDFDebugger-2.0.30,64,0.0,2,165
org.apache.pdfbox.debugger.PDFDebugger.DocumentOpener-2.0.30,3,0.0,1,4
org.apache.pdfbox.debugger.colorpane.CSArrayBased-2.0.30,5,0.0,1,15
org.apache.pdfbox.debugger.colorpane.CSDeviceN-2.0.30,6,0.0,2,6
org.apache.pdfbox.debugger.colorpane.CSIndexed-2.0.30,8,0.0,2,6
org.apache.pdfbox.debugger.colorpane.CSSeparation-2.0.30,3,0.0,1,10
org.apache.pdfbox.debugger.colorpane.ColorBarCellRenderer-2.0.30,2,0.0,1,1
org.apache.pdfbox.debugger.colorpane.DeviceNColorant-2.0.30,2,0.0,3,7
org.apache.pdfbox.debugger.colorpane.DeviceNTableModel-2.0.30,3,0.0,2,13
org.apache.pdfbox.debugger.colorpane.IndexedColorant-2.0.30,2,0.0,2,7
org.apache.pdfbox.debugger.colorpane.IndexedTableModel-2.0.30,3,0.0,2,14
org.apache.pdfbox.debugger.flagbitspane.AnnotFlag-2.0.30,5,1.0,2,4
org.apache.pdfbox.debugger.flagbitspane.EncryptFlag-2.0.30,5,1.0,2,4
org.apache.pdfbox.debugger.flagbitspane.FieldFlag-2.0.30,4,1.0,1,15
org.apache.pdfbox.debugger.flagbitspane.Flag-2.0.30,7,0.0,4,1
org.apache.pdfbox.debugger.flagbitspane.FlagBitsPane-2.0.30,12,0.0,1,9
org.apache.pdfbox.debugger.flagbitspane.FlagBitsPaneView-2.0.30,1,0.0,1,4
org.apache.pdfbox.debugger.flagbitspane.FontFlag-2.0.30,5,1.0,2,4
org.apache.pdfbox.debugger.flagbitspane.PanoseFlag-2.0.30,7,1.0,5,16
org.apache.pdfbox.debugger.flagbitspane.SigFlag-2.0.30,6,1.0,2,4
org.apache.pdfbox.debugger.fontencodingpane.FontEncodingPaneController-2.0.30,12,0.0,1,6
org.apache.pdfbox.debugger.fontencodingpane.FontEncodingView-2.0.30,4,0.0,3,7
org.apache.pdfbox.debugger.fontencodingpane.FontEncodingView.GlyphCellRenderer-2.0.30,3,0.0,1,8
org.apache.pdfbox.debugger.fontencodingpane.FontPane-2.0.30,4,0.0,2,3
org.apache.pdfbox.debugger.fontencodingpane.SimpleFont-2.0.30,8,1.0,3,7
org.apache.pdfbox.debugger.fontencodingpane.Type0Font-2.0.30,14,1.0,2,15
org.apache.pdfbox.debugger.fontencodingpane.Type3Font-2.0.30,17,1.0,3,17
org.apache.pdfbox.debugger.hexviewer.ASCIIPane-2.0.30,6,0.0,2,9
org.apache.pdfbox.debugger.hexviewer.AddressPane-2.0.30,3,0.0,1,9
org.apache.pdfbox.debugger.hexviewer.HexChangedEvent-2.0.30,3,0.0,2,3
org.apache.pdfbox.debugger.hexviewer.HexEditor-2.0.30,9,0.0,1,14
org.apache.pdfbox.debugger.hexviewer.HexModel-2.0.30,11,0.0,3,24
org.apache.pdfbox.debugger.hexviewer.HexModelChangedEvent-2.0.30,4,0.0,2,3
org.apache.pdfbox.debugger.hexviewer.HexPane-2.0.30,9,0.0,9,51
org.apache.pdfbox.debugger.hexviewer.HexView-2.0.30,8,0.0,1,5
org.apache.pdfbox.debugger.hexviewer.SelectEvent-2.0.30,3,0.0,2,3
org.apache.pdfbox.debugger.hexviewer.StatusPane-2.0.30,2,0.0,1,3
org.apache.pdfbox.debugger.hexviewer.UpperPane-2.0.30,2,0.0,1,3
org.apache.pdfbox.debugger.pagepane.PagePane-2.0.30,27,0.0,6,46
